table_export_name,table_db_name,line_start,column_count,has_relations
clients,clients,4,10,yes
deals,deals,17,31,yes
dealEntities,deal_entities,60,11,no
scopeCatalog,scope_catalog,78,11,no
scopeTemplates,scope_templates,92,7,no
scopeTemplateItems,scope_template_items,102,6,no
assemblyTemplates,assembly_templates,126,9,no
assemblyComponents,assembly_components,140,10,no
dealScopeItems,deal_scope_items,167,9,yes
roles,roles,184,6,no
rateCards,rate_cards,193,6,no
rateCardEntries,rate_card_entries,202,5,no
pricingLines,pricing_lines,210,17,yes
scenarios,scenarios,236,13,yes
approvals,approvals,252,12,yes
promptResponses,prompt_responses,267,9,yes
promptSets,prompt_sets,281,14,no
promptSetItems,prompt_set_items,299,8,no
marginTargets,margin_targets,320,9,no
activityLog,activity_log,333,7,yes
changeOrders,change_orders,343,21,yes
batchRenewalJobs,batch_renewal_jobs,374,16,no
batchRenewalItems,batch_renewal_items,402,10,no
batchAdjustmentRules,batch_adjustment_rules,419,11,no
dynamicsOwners,dynamics_owners,439,4,no
dynamicsAccounts,dynamics_accounts,446,28,no
dynamicsOpportunities,dynamics_opportunities,477,23,no
dynamicsSyncLog,dynamics_sync_log,503,12,no
dynamicsSettings,dynamics_settings,518,6,no
intappSettings,intapp_settings,528,20,no
intappScreenings,intapp_screenings,551,14,no
intappHits,intapp_hits,568,8,no
intappMitigations,intapp_mitigations,579,9,no
intappEvents,intapp_events,591,10,no
intakeRequests,intake_requests,608,15,no
intakeExtractions,intake_extractions,626,11,no
intakeApprovals,intake_approvals,640,10,no
intakeEvents,intake_events,653,10,no
workdaySettings,workday_settings,667,11,no
workdayCostCenters,workday_cost_centers,681,12,no
workdayWorkers,workday_workers,696,11,no
workdayRateCards,workday_rate_cards,710,7,no
workdayValidations,workday_validations,720,17,no
workdayValidationFindings,workday_validation_findings,740,13,no
workdayEvents,workday_events,756,13,no
congaSettings,conga_settings,776,7,no
congaTemplates,conga_templates,786,11,no
engagementLetters,engagement_letters,804,13,no
